,book_title,author,book_url,cover_img_url
0,زن زیادی,جلال آل احمد,/book/5742,https://img.taaghche.com/frontCover/5742.jpg
1,هری پاتر و فرزند نفرین شده,جی.کی. رولینگ,/book/11925,https://img.taaghche.com/frontCover/11925.jpg
2,یک روز انتظار,ارنست همینگوی,/book/20942,https://img.taaghche.com/frontCover/20942.jpg
3,کفش‌های قرمز,هانس کریستین اندرسن,/book/20934,https://img.taaghche.com/frontCover/20934.jpg
4,شناخت ذهن و کنترل آن,رامین کرمی,/book/24802,https://img.taaghche.com/frontCover/24802.jpg
5,بانو,زونا گیل,/book/44532,https://img.taaghche.com/frontCover/44532.jpg
6,بچه مردم,جلال آل احمد,/book/20564,https://img.taaghche.com/frontCover/20564.jpg
7,نیما یوشیج,نیما یوشیج,/book/39531,https://img.taaghche.com/frontCover/39531.jpg
8,پروین اعتصامی,پروین اعتصامی,/book/38422,https://img.taaghche.com/frontCover/38422.jpg
9,راهنمای ای اف تی ؛ آسودگی روح و جسم,گری کریگ,/book/336,https://img.taaghche.com/frontCover/336.jpg
10,هنر دختربودن! فقط دخترها بخوانند,راضیه کیماسی,/book/55143,https://img.taaghche.com/frontCover/55143.jpg
11,تهمت,آنتوان چخوف,/book/16682,https://img.taaghche.com/frontCover/16682.jpg
12,نیروی اراده,روی بامیستر,/book/18262,https://img.taaghche.com/frontCover/18262.jpg
13,شرط‌بندی,آنتوان چخوف,/book/17155,https://img.taaghche.com/frontCover/17155.jpg
14,کلیات عطار,فریدالدین محمد عطار نیشابوری,/book/3469,https://img.taaghche.com/frontCover/3469.jpg
15,ترجمه پارسی قرآن کریم,محمدمهدی فولادوند,/book/32458,https://img.taaghche.com/frontCover/32458.jpg
16,گربه‌ی چکمه پوش,ریحانه ظهیری,/book/20935,https://img.taaghche.com/frontCover/20935.jpg
17,در جستجوی هیچ,کت رمبو,/book/44540,https://img.taaghche.com/frontCover/44540.jpg
18,پینوکیو (خلاصه داستان),کارلو ک‍ول‍ودی‌,/book/20923,https://img.taaghche.com/frontCover/20923.jpg
19,گربه‌ی لوبیا پز,اسماعیل پورکاظم,/book/20936,https://img.taaghche.com/frontCover/20936.jpg
20,مشاوره ازدواج,ام.استنلی بوبین,/book/20939,https://img.taaghche.com/frontCover/20939.jpg
21,سه پرسش,لئو تولستوی,/book/16761,https://img.taaghche.com/frontCover/16761.jpg
22,پیرمردی بر سر پل,ارنست همینگوی,/book/20922,https://img.taaghche.com/frontCover/20922.jpg
23,کی؛ ترفندهای علمی زمان‌سنجی عالی,دنیل پینک,/book/38901,https://img.taaghche.com/frontCover/38901.jpg
24,دوبیتی‌های باباطاهر,باباطاهر عریان,/book/3357,https://img.taaghche.com/frontCover/3357.jpg
25,خواجه عبدالله انصاری,خواجه عبدالله انصاری,/book/39508,https://img.taaghche.com/frontCover/39508.jpg
26,راهنمای زبان جسم,فرید یاسمین,/book/9856,https://img.taaghche.com/frontCover/9856.jpg
27,و ما باران را فروختیم,کارمن نارانجو,/book/20941,https://img.taaghche.com/frontCover/20941.jpg
28,کوروش شاهنشاه آنشان,افسانه کرمی‌تخت‌چوبی,/book/5987,https://img.taaghche.com/frontCover/5987.jpg
29,پنج گنج (خمسه) نظامی,نظامی گنجوی,/book/39532,https://img.taaghche.com/frontCover/39532.jpg
30,سرخوش,آنتوان چخوف,/book/16798,https://img.taaghche.com/frontCover/16798.jpg
31,پسران نشاندار؛ سایه‌های مرگ,جوزف فازمن,/book/72588,https://img.taaghche.com/frontCover/72588.jpg
32,پنج دقیقه زندگی,جنیفر ریپلی,/book/20912,https://img.taaghche.com/frontCover/20912.jpg
33,دویست سال بعد,حمیدرضا رضوانی‌اول,/book/86628,https://img.taaghche.com/frontCover/86628.jpg
34,مجموعه اشعار عبید زاکانی,عبید زاکانی,/book/3685,https://img.taaghche.com/frontCover/3685.jpg
